Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
HMM_V2_O2,L1_H1_D16_linear_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,HMM,2,2,linear,False,absolute,True,1,1,16,0.0001,0.660179,0.666557,0.660179,0.032427
HMM_V2_O2,L1_H2_D16_linear_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,HMM,2,2,linear,False,absolute,True,1,2,16,0.0001,0.689633,0.686144,0.689633,0.000438
HMM_V2_O2,L1_H1_D16_linear_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,HMM,2,2,linear,False,absolute,False,1,1,16,0.0001,1.620666,1.597876,1.620666,1.134094
HMM_V2_O2,L1_H2_D16_linear_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,HMM,2,2,linear,False,absolute,False,1,2,16,0.0001,0.720205,0.720085,0.720205,0.180208
HMM_V2_O2,L1_H1_D16_linear_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,HMM,2,2,linear,False,rope,True,1,1,16,0.0001,0.739964,0.730860,0.739964,0.055426
HMM_V2_O2,L1_H2_D16_linear_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,HMM,2,2,linear,False,rope,True,1,2,16,0.0001,0.620508,0.619519,0.620508,0.063371
HMM_V2_O2,L1_H1_D16_linear_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,HMM,2,2,linear,False,rope,False,1,1,16,0.0001,0.725257,0.731321,0.725257,0.051562
HMM_V2_O2,L1_H2_D16_linear_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,HMM,2,2,linear,False,rope,False,1,2,16,0.0001,0.677171,0.677486,0.677171,0.036289
HMM_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,HMM,2,1,performer,True,absolute,True,2,1,16,0.0001,1.283980,1.273253,1.283980,0.675291
HMM_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,HMM,2,1,performer,True,absolute,True,2,2,16,0.0001,0.856023,0.848313,0.856023,0.159616
HMM_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,1,performer,True,absolute,False,2,1,16,0.0001,0.694022,0.694510,0.694022,0.011819
HMM_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,1,performer,True,absolute,False,2,2,16,0.0001,1.291024,1.292283,1.291024,1.030828
HMM_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,1,performer,True,rope,True,2,1,16,0.0001,0.903988,0.885595,0.903988,0.271417
HMM_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,1,performer,True,rope,True,2,2,16,0.0001,1.235622,1.252164,1.235622,0.752691
HMM_V2_O1,L2_H1_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,HMM,2,1,performer,True,rope,False,2,1,16,0.0001,0.528254,0.516974,0.528254,0.067926
HMM_V2_O1,L2_H2_D16_performer_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,HMM,2,1,performer,True,rope,False,2,2,16,0.0001,1.394209,1.393709,1.394209,0.912859
HMM_V2_O1,L2_H1_D16_performer_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,HMM,2,1,performer,False,absolute,True,2,1,16,0.0001,0.768434,0.764538,0.768434,0.130611
HMM_V2_O1,L2_H2_D16_performer_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,HMM,2,1,performer,False,absolute,True,2,2,16,0.0001,0.621819,0.619176,0.621819,0.030813
